Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Animal scientists    * Animal Geneticist* Animal Nutritionist* Animal Scientist* Beef Cattle Nutritionist* Dairy Scientist* Poultry Scientist* Swine Genetics Researcher,Bachelor's degree,19-1011,3.5,3.9,0.3,9.7,0.4,"63,490",3,None,4,None,6
Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,Bachelor's degree,19-1012,15,16.1,1,6.7,1.7,"73,450",3,None,4,None,6
Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist,Bachelor's degree,19-1013,18.8,20.7,1.9,10,2.3,"66,120",3,None,4,None,6
Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist,Doctoral or professional degree,19-1021,34.8,36.5,1.6,4.7,3.2,"94,270",1,None,4,None,6
Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist,Bachelor's degree,19-1022,21.4,22.4,1,4.6,2,"84,400",3,None,4,None,6
Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist,Bachelor's degree,19-1023,18.5,19.5,1,5.2,1.7,"66,350",3,None,4,None,6
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist",Bachelor's degree,19-1029,46.2,47.9,1.7,3.7,4.2,"85,290",3,None,4,None,6
Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,Bachelor's degree,19-1031,25.3,26.8,1.5,6.1,2.5,"64,020",3,None,4,None,6
Foresters    * Environmental Protection Forester* Forest Ecologist* Forestry Scientist* Land Management Forester* Operations Forester* Resource Forester* Service Forester* Timber Management Specialist* Urban Forester,Bachelor's degree,19-1032,13.7,15.1,1.4,10,1.4,"63,980",3,None,4,None,6
Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist,Master's degree,19-1041,7.8,10.2,2.3,29.6,0.9,"74,560",2,None,4,None,6
"Medical scientists, except epidemiologists    * Cancer Researcher* Clinical Pharmacologist* Clinical Research Scientist* Gerontologist* Histologist* Histopathologist* Immunochemist* Industrial Pharmacist* Medical Health Researcher* Medical Research Scientist* Medical Scientist* Neuroscientist* Pharmacologist* Serologist* Toxicologist",Doctoral or professional degree,19-1042,133.9,156.6,22.6,16.9,12.6,"91,510",1,None,4,None,6
"Life scientists, all other    * Life Science Taxonomist",Bachelor's degree,19-1099,7,7.6,0.6,8.4,0.6,"82,000",3,None,4,None,6
Astronomers    * Astronomer* Astrophysicist,Doctoral or professional degree,19-2011,2.1,2.2,0.1,4.5,0.2,"119,730",1,None,4,None,6
Physicists    * Fluid Dynamicist* Health Physicist* Mathematical Physicist* Medical Physicist* Molecular Physicist* Nuclear Physicist* Optical Scientist* Research Physicist* Rheologist* Thermodynamic Physicist* Thermodynamicist,Doctoral or professional degree,19-2012,17.4,18.9,1.5,8.8,1.3,"129,850",1,None,4,None,6
Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman,Bachelor's degree,19-2021,10.7,11.6,0.9,8.3,1,"99,740",3,None,4,None,6
Chemists    * Agricultural Chemist* Analytical Chemist* Bench Chemist* Food Chemist* Formulary Chemist* Industrial Chemist* Inorganic Chemist* Laboratory Chemist* Nuclear Chemist* Organic Chemist* Quality Control Chemist* Research and Development Chemist,Bachelor's degree,19-2031,85.4,91.1,5.7,6.7,8.4,"79,300",3,None,4,None,6
Materials scientists    * Materials Scientist* Metal Alloy Scientist* Plastics Scientist,Bachelor's degree,19-2032,7.1,7.3,0.3,3.9,0.7,"99,460",3,None,4,None,6
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst",Bachelor's degree,19-2041,87.1,94.4,7.3,8.4,9.4,"73,230",3,None,4,None,6
"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist",Bachelor's degree,19-2042,29,31,2,7,3.1,"93,580",3,None,4,None,6
Hydrologists    * Hydrogeologist* Hydrologist* Isotope Hydrologist* Surface Hydrologist,Bachelor's degree,19-2043,6.5,6.9,0.4,5.6,0.7,"84,040",3,None,4,None,6
"Physical scientists, all other    * Physical Scientist",Bachelor's degree,19-2099,23.9,24.2,0.2,1,1.8,"107,210",3,None,4,None,6
Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Economist* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist,Master's degree,19-3011,18.6,21,2.4,13.1,1.6,"108,350",2,None,4,None,6
Survey researchers    * Pollster* Survey Methodologist* Survey Questionnaire Designer* Survey Researcher,Master's degree,19-3022,12.7,13.2,0.5,4.3,1.2,"59,870",2,None,4,None,6
"Clinical, counseling, and school psychologists    * Child Psychologist* Child Psychometrist* Clinical Psychologist* Eating Disorder Psychologist* Educational Psychologist* Geropsychologist* Pediatric Psychologist* School Psychologist* School Psychometrist* Vocational Psychologist",Doctoral or professional degree,19-3031,118.8,131.1,12.3,10.4,9.4,"79,820",1,None,4,Internship/residency,1
Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist,Master's degree,19-3032,4.9,5,0.1,2.2,0.3,"96,270",2,None,4,Internship/residency,1
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychometrist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist",Master's degree,19-3039,55.2,56.3,1.1,2,3.7,"105,780",2,None,4,Internship/residency,1
Sociologists    * Criminologist* Family Sociologist* Penologist* Rural Sociologist* Sociologist* Urban Sociologist,Master's degree,19-3041,3,3.1,0.1,4.8,0.3,"86,110",2,None,4,None,6
Urban and regional planners    * City Planner* Community Development Planner* Regional Planner* Urban Planner,Master's degree,19-3051,39.1,41.8,2.7,6.8,3.7,"75,950",2,None,4,None,6
Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist,Master's degree,19-3091,8.5,9.1,0.6,7.4,0.8,"66,130",2,None,4,None,6
Geographers    * Biogeographer* Economic Geographer* GIS Geographer* Geographer* Geomorphologist* Glaciologist* Physical Geographer* Political Geographer,Bachelor's degree,19-3092,1.6,1.7,0,1.1,0.1,"85,430",3,None,4,None,6
Historians    * Genealogist* Historiographer* Protohistorian,Master's degree,19-3093,3.1,3.3,0.2,5.5,0.3,"63,100",2,None,4,None,6
Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher,Master's degree,19-3094,7,7.6,0.6,8.6,0.7,"125,350",2,None,4,None,6
"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist",Bachelor's degree,19-3099,39.9,41.1,1.2,2.9,3.7,"87,260",3,None,4,None,6
Agricultural and food science technicians,Associate's degree,19-4010,26.6,28.7,2.1,7.9,3.7,"41,970",4,None,4,Moderate-term on-the-job training,4
Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,Bachelor's degree,19-4021,87.6,93.5,5.9,6.7,11.8,"46,340",3,None,4,None,6
Chemical technicians    * Assayer* Chemical Laboratory Technician* Chemical Technician* Inorganic Chemical Technician,Associate's degree,19-4031,65.1,68.4,3.3,5,7.5,"49,820",4,None,4,Moderate-term on-the-job training,4
"Environmental science and protection technicians, including health",Associate's degree,19-4042,34.2,37.8,3.6,10.6,4.7,"46,850",4,None,4,None,6
Geological and hydrologic technicians,Associate's degree,19-4045,16.8,18.3,1.5,8.7,2.3,"50,630",4,None,4,Moderate-term on-the-job training,4
Nuclear technicians    * Nuclear Monitoring Technician* Nuclear Technician* Radiation Protection Technician* Radiochemical Technician,Associate's degree,19-4051,6.6,5.8,-0.8,-12.4,0.7,"84,190",4,None,4,Moderate-term on-the-job training,4
Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant,Bachelor's degree,19-4061,40.4,43.8,3.4,8.4,5.4,"49,210",3,None,4,None,6
Forest and conservation technicians,Associate's degree,19-4071,33,33.3,0.2,0.7,4,"38,940",4,None,4,None,6
Forensic science technicians    * Ballistic Technician* Ballistician* Ballistics Expert* Crime Lab Technician* Crime Scene Technician* Criminalist Technician* Fingerprint Expert* Forensic Analyst* Forensic Science Technician* Handwriting Expert* Trace Evidence Technician* Wildlife Forensic Geneticist,Bachelor's degree,19-4092,17.2,19.8,2.7,15.6,2.5,"60,590",3,None,4,Moderate-term on-the-job training,4
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner",Associate's degree,19-4099,69.7,75.5,5.8,8.3,9.3,"52,460",4,None,4,None,6
Occupational health and safety specialists,Bachelor's degree,19-5011,98,104.8,6.8,7,7.8,"76,340",3,None,4,None,6
Occupational health and safety technicians,High school diploma or equivalent,19-5012,21.3,23.2,1.9,9,1.8,"53,340",7,None,4,Moderate-term on-the-job training,4
"Educational, guidance, and career counselors and advisors    * Career Counselor* Career Technical Counselor* Education Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser",Master's degree,21-1012,322,359,37,11.5,35,"58,120",2,None,4,None,6
Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor,Master's degree,21-1013,73.2,85.1,12,16.4,8.5,"51,340",2,None,4,Internship/residency,1
Rehabilitation counselors    * Certified Rehabilitation Counselor* Coordinator of Rehabilitation Services* Psychosocial Rehabilitation Counselor* Rehabilitation Counselor* Veterans Rehabilitation Counselor* Vocational Rehabilitation Counselor,Master's degree,21-1015,104.5,115.4,10.8,10.4,11.2,"37,530",2,None,4,None,6
"Substance abuse, behavioral disorder, and mental health counselors",Bachelor's degree,21-1018,327.5,402.6,75.1,22.9,41,"47,660",3,None,4,None,6
"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor",Master's degree,21-1019,54.3,59.2,4.8,8.9,5.7,"45,760",2,None,4,None,6
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker",Bachelor's degree,21-1021,335.3,377.4,42.2,12.6,36.7,"48,430",3,None,4,None,6
Healthcare social workers    * AIDS Social Worker* C-SWHC* Certified Social Workers In Health Care* Healthcare Social Worker* Hospice Home Care Social Worker* Hospice Social Worker* Hospital Social Worker* Medical Social Worker* Neonatal Social Worker* Nephrology Social Worker* Oncology Social Worker* Pediatric Social Worker* Public Health Social Worker* Renal Social Worker,Master's degree,21-1022,184.9,209.3,24.4,13.2,20.4,"57,630",2,None,4,Internship/residency,1
Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker,Master's degree,21-1023,124,142.5,18.5,14.9,14,"48,720",2,None,4,Internship/residency,1
"Social workers, all other    * Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker",Bachelor's degree,21-1029,71.4,75.5,4.1,5.8,7.1,"64,210",3,None,4,None,6
Health education specialists    * Certified Diabetes Educator* Certified Health Education Specialist* Community Health Education Coordinator* Diabetes Educator* Health Education Specialist* Health Educator* Public Health Educator,Bachelor's degree,21-1091,61.1,68.7,7.6,12.4,7.4,"56,500",3,None,4,None,6
